fiscal_quarter,cost_center,commentary_text,authored_tone_label,sentiment_score,predicted_tone,positive_hits,negative_hits,match_authored_label,top_keywords,topic_cluster,topic_cluster_label,department,function
2023-Q3,CC400,Customer Success headcount grew modestly to support the expanding subscription customer base.,neutral,1.0,Positive,2,0,False,"customer, subscription customer, support expanding, subscription, modestly support",0,"headcount grew, grew, customer, headcount, subscription customer, subscription",Customer Success,S&M
2023-Q3,CC500,Cloud infrastructure spend tracked closely to plan this quarter with no material variances.,neutral,0.0,Neutral,0,0,True,"cloud infrastructure, plan quarter, infrastructure, cloud, plan",1,"quarter, team, consistent, sales, headcount, platform",Cloud Operations (COGS),COGS
2023-Q4,CC100,"Sales & Marketing exceeded pipeline generation targets this quarter, driven by strong performance in the Cloud Platform segment and improved conversion rates from the new outbound motion.",positive,1.0,Positive,3,0,True,"rates new, performance cloud, pipeline, pipeline generation, performance",1,"quarter, team, consistent, sales, headcount, platform",Sales & Marketing,S&M
2023-Q4,CC200,"The team successfully reduced cloud infrastructure cost per customer through the optimization initiative, which should benefit gross margin going forward.",positive,1.0,Positive,3,0,True,"reduced, reduced cloud, successfully, successfully reduced, initiative benefit",1,"quarter, team, consistent, sales, headcount, platform",Research & Development,R&D
2023-Q4,CC300,"Professional fees exceeded plan due to additional legal costs associated with a customer contract dispute, now substantially resolved.",negative,0.0,Neutral,1,1,False,"exceeded, costs, plan, customer",3,"costs, hosting, plan, customer, ran plan, unplanned",General & Administrative,G&A
2023-Q4,CC400,Customer Success headcount grew modestly to support the expanding subscription customer base.,neutral,1.0,Positive,2,0,False,"customer, subscription customer, support expanding, subscription, modestly support",0,"headcount grew, grew, customer, headcount, subscription customer, subscription",Customer Success,S&M
2023-Q4,CC500,Hosting costs ran above plan this quarter due to unplanned capacity additions ahead of a major customer go-live.,negative,0.0,Neutral,1,1,False,"unplanned, unplanned capacity, ran plan, quarter unplanned, ran",3,"costs, hosting, plan, customer, ran plan, unplanned",Cloud Operations (COGS),COGS
2024-Q1,CC100,"Sales & Marketing exceeded pipeline generation targets this quarter, driven by strong performance in the Cloud Platform segment and improved conversion rates from the new outbound motion.",positive,1.0,Positive,3,0,True,"rates new, performance cloud, pipeline, pipeline generation, performance",1,"quarter, team, consistent, sales, headcount, platform",Sales & Marketing,S&M
2024-Q1,CC200,"Engineering attrition was elevated this quarter, requiring backfill hiring that pressured near-term productivity.",negative,-1.0,Negative,0,3,True,"engineering, quarter",1,"quarter, team, consistent, sales, headcount, platform",Research & Development,R&D
2024-Q1,CC300,"G&A completed the ERP system upgrade under budget, and finance close cycle time improved by two days as a result.",positive,1.0,Positive,1,0,True,"upgrade, upgrade budget, time improved, time, result",2,"upgrade, upgrade budget, time improved, time, result, improved days",General & Administrative,G&A
2024-Q1,CC400,"Customer Success drove a meaningful improvement in net revenue retention this quarter, aided by the new customer health-scoring model and proactive renewal outreach.",positive,1.0,Positive,3,0,True,"customer, success, customer success, new, quarter",1,"quarter, team, consistent, sales, headcount, platform",Customer Success,S&M
2024-Q1,CC500,Hosting costs ran above plan this quarter due to unplanned capacity additions ahead of a major customer go-live.,negative,0.0,Neutral,1,1,False,"unplanned, unplanned capacity, ran plan, quarter unplanned, ran",3,"costs, hosting, plan, customer, ran plan, unplanned",Cloud Operations (COGS),COGS
2024-Q2,CC100,"New logo bookings accelerated meaningfully, with enterprise deal sizes up double digits versus prior quarter; the recently hired enterprise AEs are ramping ahead of plan.",positive,1.0,Positive,2,0,True,"enterprise, versus prior, ramping ahead, versus, prior quarter",1,"quarter, team, consistent, sales, headcount, platform",Sales & Marketing,S&M
2024-Q2,CC200,R&D headcount grew as planned with the addition of the new APAC engineering hub.,neutral,1.0,Positive,1,0,False,"planned addition, planned, addition new, addition, apac engineering",0,"headcount grew, grew, customer, headcount, subscription customer, subscription",Research & Development,R&D
2024-Q2,CC300,"G&A completed the ERP system upgrade under budget, and finance close cycle time improved by two days as a result.",positive,1.0,Positive,1,0,True,"upgrade, upgrade budget, time improved, time, result",2,"upgrade, upgrade budget, time improved, time, result, improved days",General & Administrative,G&A
2024-Q2,CC400,Customer Success headcount grew modestly to support the expanding subscription customer base.,neutral,1.0,Positive,2,0,False,"customer, subscription customer, support expanding, subscription, modestly support",0,"headcount grew, grew, customer, headcount, subscription customer, subscription",Customer Success,S&M
2024-Q2,CC500,Hosting costs ran above plan this quarter due to unplanned capacity additions ahead of a major customer go-live.,negative,0.0,Neutral,1,1,False,"unplanned, unplanned capacity, ran plan, quarter unplanned, ran",3,"costs, hosting, plan, customer, ran plan, unplanned",Cloud Operations (COGS),COGS
2024-Q3,CC100,"Sales & Marketing exceeded pipeline generation targets this quarter, driven by strong performance in the Cloud Platform segment and improved conversion rates from the new outbound motion.",positive,1.0,Positive,3,0,True,"rates new, performance cloud, pipeline, pipeline generation, performance",1,"quarter, team, consistent, sales, headcount, platform",Sales & Marketing,S&M
2024-Q3,CC200,"The team continued incremental investment in the data platform roadmap, consistent with the approved budget.",neutral,0.0,Neutral,0,0,True,"consistent, platform, team, budget",1,"quarter, team, consistent, sales, headcount, platform",Research & Development,R&D
2024-Q3,CC300,"G&A completed the ERP system upgrade under budget, and finance close cycle time improved by two days as a result.",positive,1.0,Positive,1,0,True,"upgrade, upgrade budget, time improved, time, result",2,"upgrade, upgrade budget, time improved, time, result, improved days",General & Administrative,G&A
2024-Q3,CC400,Customer Success headcount grew modestly to support the expanding subscription customer base.,neutral,1.0,Positive,2,0,False,"customer, subscription customer, support expanding, subscription, modestly support",0,"headcount grew, grew, customer, headcount, subscription customer, subscription",Customer Success,S&M
2024-Q3,CC500,"Cloud Operations achieved a notable reduction in hosting cost per transaction through the infrastructure consolidation project, supporting gross margin expansion.",positive,1.0,Positive,3,0,True,"transaction infrastructure, transaction, project supporting, project, reduction hosting",3,"costs, hosting, plan, customer, ran plan, unplanned",Cloud Operations (COGS),COGS
2024-Q4,CC100,"New logo bookings accelerated meaningfully, with enterprise deal sizes up double digits versus prior quarter; the recently hired enterprise AEs are ramping ahead of plan.",positive,1.0,Positive,2,0,True,"enterprise, versus prior, ramping ahead, versus, prior quarter",1,"quarter, team, consistent, sales, headcount, platform",Sales & Marketing,S&M
2024-Q4,CC200,"The team successfully reduced cloud infrastructure cost per customer through the optimization initiative, which should benefit gross margin going forward.",positive,1.0,Positive,3,0,True,"reduced, reduced cloud, successfully, successfully reduced, initiative benefit",1,"quarter, team, consistent, sales, headcount, platform",Research & Development,R&D
2024-Q4,CC300,"G&A completed the ERP system upgrade under budget, and finance close cycle time improved by two days as a result.",positive,1.0,Positive,1,0,True,"upgrade, upgrade budget, time improved, time, result",2,"upgrade, upgrade budget, time improved, time, result, improved days",General & Administrative,G&A
2024-Q4,CC400,Renewal rates softened slightly in the Hardware & IoT segment as several large customers delayed procurement decisions amid budget freezes.,negative,-1.0,Negative,0,3,True,"rates, segment, budget",1,"quarter, team, consistent, sales, headcount, platform",Customer Success,S&M
2024-Q4,CC500,"Cloud Operations achieved a notable reduction in hosting cost per transaction through the infrastructure consolidation project, supporting gross margin expansion.",positive,1.0,Positive,3,0,True,"transaction infrastructure, transaction, project supporting, project, reduction hosting",3,"costs, hosting, plan, customer, ran plan, unplanned",Cloud Operations (COGS),COGS
2025-Q1,CC100,"New logo bookings accelerated meaningfully, with enterprise deal sizes up double digits versus prior quarter; the recently hired enterprise AEs are ramping ahead of plan.",positive,1.0,Positive,2,0,True,"enterprise, versus prior, ramping ahead, versus, prior quarter",1,"quarter, team, consistent, sales, headcount, platform",Sales & Marketing,S&M
2025-Q1,CC200,"The team successfully reduced cloud infrastructure cost per customer through the optimization initiative, which should benefit gross margin going forward.",positive,1.0,Positive,3,0,True,"reduced, reduced cloud, successfully, successfully reduced, initiative benefit",1,"quarter, team, consistent, sales, headcount, platform",Research & Development,R&D
2025-Q1,CC300,"G&A completed the ERP system upgrade under budget, and finance close cycle time improved by two days as a result.",positive,1.0,Positive,1,0,True,"upgrade, upgrade budget, time improved, time, result",2,"upgrade, upgrade budget, time improved, time, result, improved days",General & Administrative,G&A
2025-Q1,CC400,Customer Success headcount grew modestly to support the expanding subscription customer base.,neutral,1.0,Positive,2,0,False,"customer, subscription customer, support expanding, subscription, modestly support",0,"headcount grew, grew, customer, headcount, subscription customer, subscription",Customer Success,S&M
2025-Q1,CC500,Hosting costs ran above plan this quarter due to unplanned capacity additions ahead of a major customer go-live.,negative,0.0,Neutral,1,1,False,"unplanned, unplanned capacity, ran plan, quarter unplanned, ran",3,"costs, hosting, plan, customer, ran plan, unplanned",Cloud Operations (COGS),COGS
2025-Q2,CC100,"New logo bookings accelerated meaningfully, with enterprise deal sizes up double digits versus prior quarter; the recently hired enterprise AEs are ramping ahead of plan.",positive,1.0,Positive,2,0,True,"enterprise, versus prior, ramping ahead, versus, prior quarter",1,"quarter, team, consistent, sales, headcount, platform",Sales & Marketing,S&M
2025-Q2,CC200,"Engineering attrition was elevated this quarter, requiring backfill hiring that pressured near-term productivity.",negative,-1.0,Negative,0,3,True,"engineering, quarter",1,"quarter, team, consistent, sales, headcount, platform",Research & Development,R&D
2025-Q2,CC300,"G&A headcount remained roughly flat quarter over quarter, consistent with our lean corporate function strategy.",neutral,0.0,Neutral,0,0,True,"quarter, consistent, headcount",1,"quarter, team, consistent, sales, headcount, platform",General & Administrative,G&A
2025-Q2,CC400,Support ticket resolution times improved significantly following the rollout of the new knowledge base and staffing increase.,positive,1.0,Positive,1,0,True,"staffing, staffing increase, significantly, support ticket, ticket resolution",4,"staffing, staffing increase, significantly, support ticket, ticket resolution, ticket",Customer Success,S&M
2025-Q2,CC500,Cloud infrastructure spend tracked closely to plan this quarter with no material variances.,neutral,0.0,Neutral,0,0,True,"cloud infrastructure, plan quarter, infrastructure, cloud, plan",1,"quarter, team, consistent, sales, headcount, platform",Cloud Operations (COGS),COGS
2025-Q3,CC100,The team completed a territory realignment this quarter; early results are inconclusive and we will monitor next quarter.,neutral,0.0,Neutral,0,0,True,"quarter, team, completed",1,"quarter, team, consistent, sales, headcount, platform",Sales & Marketing,S&M
2025-Q3,CC200,R&D headcount grew as planned with the addition of the new APAC engineering hub.,neutral,1.0,Positive,1,0,False,"planned addition, planned, addition new, addition, apac engineering",0,"headcount grew, grew, customer, headcount, subscription customer, subscription",Research & Development,R&D
2025-Q3,CC300,"Professional fees exceeded plan due to additional legal costs associated with a customer contract dispute, now substantially resolved.",negative,0.0,Neutral,1,1,False,"exceeded, costs, plan, customer",3,"costs, hosting, plan, customer, ran plan, unplanned",General & Administrative,G&A
2025-Q3,CC400,Support ticket resolution times improved significantly following the rollout of the new knowledge base and staffing increase.,positive,1.0,Positive,1,0,True,"staffing, staffing increase, significantly, support ticket, ticket resolution",4,"staffing, staffing increase, significantly, support ticket, ticket resolution, ticket",Customer Success,S&M
2025-Q3,CC500,Hosting costs ran above plan this quarter due to unplanned capacity additions ahead of a major customer go-live.,negative,0.0,Neutral,1,1,False,"unplanned, unplanned capacity, ran plan, quarter unplanned, ran",3,"costs, hosting, plan, customer, ran plan, unplanned",Cloud Operations (COGS),COGS
2025-Q4,CC100,"Sales cycles lengthened this quarter as budget scrutiny increased among mid-market prospects, pushing several six-figure deals into next quarter.",negative,1.0,Positive,1,0,False,"quarter, sales, budget",1,"quarter, team, consistent, sales, headcount, platform",Sales & Marketing,S&M
2025-Q4,CC200,"The team continued incremental investment in the data platform roadmap, consistent with the approved budget.",neutral,0.0,Neutral,0,0,True,"consistent, platform, team, budget",1,"quarter, team, consistent, sales, headcount, platform",Research & Development,R&D
2025-Q4,CC300,"G&A headcount remained roughly flat quarter over quarter, consistent with our lean corporate function strategy.",neutral,0.0,Neutral,0,0,True,"quarter, consistent, headcount",1,"quarter, team, consistent, sales, headcount, platform",General & Administrative,G&A
2025-Q4,CC400,Support ticket resolution times improved significantly following the rollout of the new knowledge base and staffing increase.,positive,1.0,Positive,1,0,True,"staffing, staffing increase, significantly, support ticket, ticket resolution",4,"staffing, staffing increase, significantly, support ticket, ticket resolution, ticket",Customer Success,S&M
2025-Q4,CC500,Hosting costs ran above plan this quarter due to unplanned capacity additions ahead of a major customer go-live.,negative,0.0,Neutral,1,1,False,"unplanned, unplanned capacity, ran plan, quarter unplanned, ran",3,"costs, hosting, plan, customer, ran plan, unplanned",Cloud Operations (COGS),COGS
2026-Q1,CC100,Headcount in Sales & Marketing grew in line with plan as we continue to build out the EMEA go-to-market team.,neutral,1.0,Positive,1,0,False,"sales marketing, marketing, sales, team, grew",1,"quarter, team, consistent, sales, headcount, platform",Sales & Marketing,S&M
2026-Q1,CC200,"R&D shipped the new analytics module ahead of schedule, and engineering velocity metrics improved following the platform re-architecture completed last quarter.",positive,1.0,Positive,2,0,True,"following, platform, engineering, completed, ahead",1,"quarter, team, consistent, sales, headcount, platform",Research & Development,R&D
2026-Q1,CC300,"G&A completed the ERP system upgrade under budget, and finance close cycle time improved by two days as a result.",positive,1.0,Positive,1,0,True,"upgrade, upgrade budget, time improved, time, result",2,"upgrade, upgrade budget, time improved, time, result, improved days",General & Administrative,G&A
2026-Q1,CC400,Customer Success headcount grew modestly to support the expanding subscription customer base.,neutral,1.0,Positive,2,0,False,"customer, subscription customer, support expanding, subscription, modestly support",0,"headcount grew, grew, customer, headcount, subscription customer, subscription",Customer Success,S&M
2026-Q1,CC500,"Cloud Operations achieved a notable reduction in hosting cost per transaction through the infrastructure consolidation project, supporting gross margin expansion.",positive,1.0,Positive,3,0,True,"transaction infrastructure, transaction, project supporting, project, reduction hosting",3,"costs, hosting, plan, customer, ran plan, unplanned",Cloud Operations (COGS),COGS
2026-Q2,CC100,"Sales & Marketing exceeded pipeline generation targets this quarter, driven by strong performance in the Cloud Platform segment and improved conversion rates from the new outbound motion.",positive,1.0,Positive,3,0,True,"rates new, performance cloud, pipeline, pipeline generation, performance",1,"quarter, team, consistent, sales, headcount, platform",Sales & Marketing,S&M
2026-Q2,CC200,R&D headcount grew as planned with the addition of the new APAC engineering hub.,neutral,1.0,Positive,1,0,False,"planned addition, planned, addition new, addition, apac engineering",0,"headcount grew, grew, customer, headcount, subscription customer, subscription",Research & Development,R&D
2026-Q2,CC300,"G&A completed the ERP system upgrade under budget, and finance close cycle time improved by two days as a result.",positive,1.0,Positive,1,0,True,"upgrade, upgrade budget, time improved, time, result",2,"upgrade, upgrade budget, time improved, time, result, improved days",General & Administrative,G&A
2026-Q2,CC400,Support ticket resolution times improved significantly following the rollout of the new knowledge base and staffing increase.,positive,1.0,Positive,1,0,True,"staffing, staffing increase, significantly, support ticket, ticket resolution",4,"staffing, staffing increase, significantly, support ticket, ticket resolution, ticket",Customer Success,S&M
2026-Q2,CC500,"Cloud Operations achieved a notable reduction in hosting cost per transaction through the infrastructure consolidation project, supporting gross margin expansion.",positive,1.0,Positive,3,0,True,"transaction infrastructure, transaction, project supporting, project, reduction hosting",3,"costs, hosting, plan, customer, ran plan, unplanned",Cloud Operations (COGS),COGS
